name,experince,team_name,birth_day,player_id,2024-25,2025-26
Brandon Miller,2 years,Charlotte Hornets,2002-11-22,millebr02,,"$11,968,800"
Wendell Moore Jr.,3 years,,2001-09-18,moorewe01,,
Jusuf Nurkić,11 years,Charlotte Hornets,1994-08-23,nurkiju01,,"$19,375,000"
Josh Okogie,7 years,Houston Rockets,1998-09-01,okogijo01,,
Elfrid Payton,9 years,New Orleans Pelicans,1994-02-22,paytoel01,,"$3,153,598"
Jared Rhoden,3 years,,1999-08-27,rhodeja01,,
Nick Richards,5 years,Phoenix Suns,1997-11-29,richani01,,"$5,000,000"
Tidjane Salaün,1 year,Charlotte Hornets,2005-08-10,salauti01,,"$7,863,240"
KJ Simpson,1 year,Charlotte Hornets,2002-08-08,simpskj01,,
Jaylen Sims,1 year,,1998-12-11,simsja01,,
Nick Smith Jr.,2 years,Charlotte Hornets,2004-04-18,smithni01,,"$2,710,680"
Grant Williams,6 years,Charlotte Hornets,1998-11-30,willigr01,,"$13,645,500"
Mark Williams,3 years,Phoenix Suns,2001-12-16,willima07,,"$6,276,531"
Isaiah Wong,2 years,,2001-01-28,wongis01,,
Nickeil Alexander-Walker,6 years,Atlanta Hawks,1998-09-02,alexani01,,
Jaylen Clark,1 year,Minnesota Timberwolves,2001-10-13,clarkja02,,"$2,191,897"
Mike Conley,18 years,Minnesota Timberwolves,1987-10-11,conlemi01,,"$10,774,038"
Rob Dillingham,1 year,Minnesota Timberwolves,2005-01-04,dilliro01,,"$6,576,120"
Donte DiVincenzo,7 years,Minnesota Timberwolves,1997-01-31,divindo01,,"$11,990,000"
PJ Dozier,7 years,,1996-10-25,doziepj01,,
Anthony Edwards,5 years,Minnesota Timberwolves,2001-08-05,edwaran01,,"$45,550,512"
Jesse Edwards,1 year,Minnesota Timberwolves,2000-03-18,edwarje01,,
Luka Garza,4 years,Boston Celtics,1998-12-27,garzalu01,,
Rudy Gobert,12 years,Minnesota Timberwolves,1992-06-26,goberru01,,"$35,000,000"
Bones Hyland,4 years,,2000-09-14,hylanbo01,,
Joe Ingles,11 years,Minnesota Timberwolves,1987-10-02,inglejo01,,
Jaden McDaniels,5 years,Minnesota Timberwolves,2000-09-29,mcdanja02,,"$24,858,622"
Leonard Miller,2 years,Minnesota Timberwolves,2003-11-26,millele01,,"$2,221,677"
Josh Minott,3 years,Boston Celtics,2002-11-25,minotjo01,,
Tristen Newton,1 year,,2001-04-26,newtotr01,,
Daishen Nix,4 years,,2002-02-13,nixda01,,
Julius Randle,11 years,Minnesota Timberwolves,1994-11-29,randlju01,,
Naz Reid,6 years,Minnesota Timberwolves,1999-08-26,reidna01,,
Terrence Shannon Jr.,1 year,Minnesota Timberwolves,2000-07-30,shannte01,,"$2,674,080"
