name,experince,team_name,birth_day,player_id,season,team_name,lg_id,salary
Derrick White,8 years,San Antonio Spurs,1994-07-02,whitede01,2017-18,San Antonio Spurs,NBA,"$1,404,600"
Derrick White,8 years,San Antonio Spurs,1994-07-02,whitede01,2018-19,San Antonio Spurs,NBA,"$1,667,160"
Derrick White,8 years,San Antonio Spurs,1994-07-02,whitede01,2019-20,San Antonio Spurs,NBA,"$1,948,080"
Derrick White,8 years,San Antonio Spurs,1994-07-02,whitede01,2020-21,San Antonio Spurs,NBA,"$3,516,284"
Derrick White,8 years,Boston Celtics,1994-07-02,whitede01,2021-22,Boston Celtics,NBA,"$15,178,571"
Derrick White,8 years,Boston Celtics,1994-07-02,whitede01,2022-23,Boston Celtics,NBA,"$16,892,857"
Derrick White,8 years,Boston Celtics,1994-07-02,whitede01,2023-24,Boston Celtics,NBA,"$18,357,143"
Derrick White,8 years,Boston Celtics,1994-07-02,whitede01,2024-25,Boston Celtics,NBA,"$20,071,429"
Derrick White,8 years,(may be incomplete),1994-07-02,whitede01,Career,(may be incomplete),,"$79,036,124"
Reece Beekman,1 year,Brooklyn Nets,2001-10-08,beekmre01,2024-25,Brooklyn Nets,NBA,(TW)
Reece Beekman,1 year,(may be incomplete),2001-10-08,beekmre01,Career,(may be incomplete),,
Nic Claxton,6 years,Brooklyn Nets,1999-04-17,claxtni01,2019-20,Brooklyn Nets,NBA,"$898,310"
Nic Claxton,6 years,Brooklyn Nets,1999-04-17,claxtni01,2020-21,Brooklyn Nets,NBA,"$1,517,981"
Nic Claxton,6 years,Brooklyn Nets,1999-04-17,claxtni01,2021-22,Brooklyn Nets,NBA,"$1,782,621"
Nic Claxton,6 years,Brooklyn Nets,1999-04-17,claxtni01,2022-23,Brooklyn Nets,NBA,"$8,500,000"
Nic Claxton,6 years,Brooklyn Nets,1999-04-17,claxtni01,2023-24,Brooklyn Nets,NBA,"$9,625,000"
Nic Claxton,6 years,Brooklyn Nets,1999-04-17,claxtni01,2024-25,Brooklyn Nets,NBA,"$27,556,817"
Nic Claxton,6 years,(may be incomplete),1999-04-17,claxtni01,Career,(may be incomplete),,"$49,880,729"
Noah Clowney,2 years,Brooklyn Nets,2004-07-14,clownno01,2023-24,Brooklyn Nets,NBA,"$3,089,520"
Noah Clowney,2 years,Brooklyn Nets,2004-07-14,clownno01,2024-25,Brooklyn Nets,NBA,"$3,244,080"
Noah Clowney,2 years,(may be incomplete),2004-07-14,clownno01,Career,(may be incomplete),,"$6,333,600"
Cui Yongxi,1 year,Brooklyn Nets,2003-05-28,cuiyo01,2024-25,Brooklyn Nets,NBA,(TW)
Cui Yongxi,1 year,(may be incomplete),2003-05-28,cuiyo01,Career,(may be incomplete),,
Tyson Etienne,1 year,Brooklyn Nets,1999-09-17,etienty01,2024-25,Brooklyn Nets,NBA,(TW)
Tyson Etienne,1 year,(may be incomplete),1999-09-17,etienty01,Career,(may be incomplete),,
Tosan Evbuomwan,2 years,Detroit Pistons,2001-02-16,evbuoto01,2023-24,Detroit Pistons,NBA,"$70,777"
Tosan Evbuomwan,2 years,Memphis Grizzlies,2001-02-16,evbuoto01,2023-24,Memphis Grizzlies,NBA,"$64,343"
Tosan Evbuomwan,2 years,Detroit Pistons,2001-02-16,evbuoto01,2023-24,Detroit Pistons,NBA,(TW)
Tosan Evbuomwan,2 years,Brooklyn Nets,2001-02-16,evbuoto01,2024-25,Brooklyn Nets,NBA,(TW)
Tosan Evbuomwan,2 years,(may be incomplete),2001-02-16,evbuoto01,Career,(may be incomplete),,"$135,120"
Dorian Finney-Smith,9 years,Dallas Mavericks,1993-05-04,finnedo01,2016-17,Dallas Mavericks,NBA,"$543,471"
Dorian Finney-Smith,9 years,Dallas Mavericks,1993-05-04,finnedo01,2017-18,Dallas Mavericks,NBA,"$1,312,611"
Dorian Finney-Smith,9 years,Dallas Mavericks,1993-05-04,finnedo01,2018-19,Dallas Mavericks,NBA,"$1,544,951"
Dorian Finney-Smith,9 years,Dallas Mavericks,1993-05-04,finnedo01,2019-20,Dallas Mavericks,NBA,"$4,000,000"
Dorian Finney-Smith,9 years,Dallas Mavericks,1993-05-04,finnedo01,2020-21,Dallas Mavericks,NBA,"$4,000,000"
Dorian Finney-Smith,9 years,Dallas Mavericks,1993-05-04,finnedo01,2021-22,Dallas Mavericks,NBA,"$4,000,000"
Dorian Finney-Smith,9 years,Brooklyn Nets,1993-05-04,finnedo01,2022-23,Brooklyn Nets,NBA,"$12,939,848"
Dorian Finney-Smith,9 years,Brooklyn Nets,1993-05-04,finnedo01,2023-24,Brooklyn Nets,NBA,"$13,932,008"
Dorian Finney-Smith,9 years,Los Angeles Lakers,1993-05-04,finnedo01,2024-25,Los Angeles Lakers,NBA,"$14,924,167"
Dorian Finney-Smith,9 years,(may be incomplete),1993-05-04,finnedo01,Career,(may be incomplete),,"$57,197,056"
Killian Hayes,5 years,Detroit Pistons,2001-07-27,hayeski01,2020-21,Detroit Pistons,NBA,"$5,307,120"
Killian Hayes,5 years,Detroit Pistons,2001-07-27,hayeski01,2021-22,Detroit Pistons,NBA,"$5,572,680"
Killian Hayes,5 years,Detroit Pistons,2001-07-27,hayeski01,2022-23,Detroit Pistons,NBA,"$5,837,760"
Killian Hayes,5 years,Detroit Pistons,2001-07-27,hayeski01,2023-24,Detroit Pistons,NBA,"$7,413,955"
Killian Hayes,5 years,Brooklyn Nets,2001-07-27,hayeski01,2024-25,Brooklyn Nets,NBA,"$119,972"
Killian Hayes,5 years,(may be incomplete),2001-07-27,hayeski01,Career,(may be incomplete),,"$24,251,487"
Cameron Johnson,6 years,Phoenix Suns,1996-03-03,johnsca02,2019-20,Phoenix Suns,NBA,"$4,033,440"
Cameron Johnson,6 years,Phoenix Suns,1996-03-03,johnsca02,2020-21,Phoenix Suns,NBA,"$4,235,160"
Cameron Johnson,6 years,Phoenix Suns,1996-03-03,johnsca02,2021-22,Phoenix Suns,NBA,"$4,437,000"
Cameron Johnson,6 years,Brooklyn Nets,1996-03-03,johnsca02,2022-23,Brooklyn Nets,NBA,"$5,887,899"
Cameron Johnson,6 years,Brooklyn Nets,1996-03-03,johnsca02,2023-24,Brooklyn Nets,NBA,"$25,679,348"
Cameron Johnson,6 years,Brooklyn Nets,1996-03-03,johnsca02,2024-25,Brooklyn Nets,NBA,"$22,500,000"
Cameron Johnson,6 years,(may be incomplete),1996-03-03,johnsca02,Career,(may be incomplete),,"$66,772,847"
Keon Johnson,4 years,Portland Trail Blazers,2002-03-10,johnske07,2021-22,Portland Trail Blazers,NBA,"$2,553,240"
Keon Johnson,4 years,Portland Trail Blazers,2002-03-10,johnske07,2022-23,Portland Trail Blazers,NBA,"$2,681,040"
Keon Johnson,4 years,Phoenix Suns,2002-03-10,johnske07,2023-24,Phoenix Suns,NBA,"$2,808,720"
Keon Johnson,4 years,Brooklyn Nets,2002-03-10,johnske07,2023-24,Brooklyn Nets,NBA,(TW)
Keon Johnson,4 years,Brooklyn Nets,2002-03-10,johnske07,2024-25,Brooklyn Nets,NBA,"$2,162,606"
Keon Johnson,4 years,(may be incomplete),2002-03-10,johnske07,Career,(may be incomplete),,"$10,205,606"
Maxwell Lewis,2 years,Los Angeles Lakers,2002-07-27,lewisma05,2023-24,Los Angeles Lakers,NBA,"$1,119,563"
Maxwell Lewis,2 years,Brooklyn Nets,2002-07-27,lewisma05,2024-25,Brooklyn Nets,NBA,"$1,891,857"
Maxwell Lewis,2 years,(may be incomplete),2002-07-27,lewisma05,Career,(may be incomplete),,"$3,011,420"
Jaylen Martin,1 year,Brooklyn Nets,2004-01-28,martija02,2023-24,Brooklyn Nets,NBA,(TW)
Jaylen Martin,1 year,New York Knicks,2004-01-28,martija02,2023-24,New York Knicks,NBA,(TW)
Jaylen Martin,1 year,New York Knicks,2004-01-28,martija02,2023-24,New York Knicks,NBA,(TW)
Jaylen Martin,1 year,Washington Wizards,2004-01-28,martija02,2024-25,Washington Wizards,NBA,(TW)
Jaylen Martin,1 year,(may be incomplete),2004-01-28,martija02,Career,(may be incomplete),,
Tyrese Martin,2 years,Atlanta Hawks,1999-03-07,martity01,2022-23,Atlanta Hawks,NBA,"$1,017,781"
Tyrese Martin,2 years,Brooklyn Nets,1999-03-07,martity01,2024-25,Brooklyn Nets,NBA,"$635,853"
Tyrese Martin,2 years,Brooklyn Nets,1999-03-07,martity01,2024-25,Brooklyn Nets,NBA,(TW)
Tyrese Martin,2 years,(may be incomplete),1999-03-07,martity01,Career,(may be incomplete),,"$1,653,634"
Dariq Whitehead,2 years,Brooklyn Nets,2004-08-01,whiteda01,2023-24,Brooklyn Nets,NBA,"$2,966,040"
Dariq Whitehead,2 years,Brooklyn Nets,2004-08-01,whiteda01,2024-25,Brooklyn Nets,NBA,"$3,114,240"
